Feature,Derivation,InductiveBias
"Standard Deviation","$\sigma = \sqrt{\frac{1}{N} \sum_{i=1}^N (y_i - \bar{y})^2}$","Dynamic Intensity Isolation: Isolates purely dynamic acceleration/rotation energy of the arm, normalizing static orientation offsets (gravity) for optimal cross-subject generalization."
"Log Detector","$x_{\text{LogDet}} = \exp\left( \frac{1}{N} \sum_{i=1}^N \ln(|x_i| + \epsilon) \right)$","Skin-Impedance Normalization: Uses a geometric mean scale to compress high-amplitude muscle bursts, preventing physiological outliers and electrode-impedance variations from dominating."
"Variance","$\sigma^2 = \frac{1}{N} \sum_{i=1}^N (y_i - \bar{y})^2$","Kinetic Dispersion Sensitivity: Tracks the kinetic energy dispersion of movements, with quadratic scaling providing high sensitivity to fine tremors or rapid load adjustments."
"Mean","$\bar{y} = \frac{1}{N} \sum_{i=1}^N y_i$","Static Orientation Tracking: On accelerometer channels, isolates the static projection of gravity (1g) to act as a direct proxy for arm posture and joint angles under load."
"Hjorth Mobility","$\text{Mobility}(x) = \sqrt{\frac{\operatorname{Var}(x')}{\operatorname{Var}(x)}}$","Time-Domain Mean Frequency: Serves as a robust and computationally light time-domain proxy for mean firing frequency without requiring spectral FFT/Welch transformations."
"Peak-to-Peak","$y_{\text{P2P}} = \max(y) - \min(y)$","Stroke Bound Indicator: Captures the maximum stroke range of a physical motion wave, aiding temporal attention layers in identifying concentric/eccentric lifting bounds."
"Mean Absolute Jerk","$y_{\text{Jerk}} = \frac{f_{\text{IMU}}}{N-1} \sum_{i=1}^{N-1} \vert y_{i+1} - y_i \vert$","Movement Smoothness \& Fatigue: Represents rate of acceleration change; elevated jerk highlights sudden micro-corrections and tremors under load."
"Dominant Frequency","$f_{\text{Dom}} = \arg\max_f P(f)$","Lift Cadence: Locates the dominant rhythm of rigid body movement, reflecting how lift pace and tremors adapt to varying load weights."
"Waveform Length","$x_{\text{WL}} = \frac{1}{N} \sum_{i=1}^{N-1} \vert x_{i+1} - x_i \vert$","Joint Effort \& Complexity: Measures cumulative waveform distance, serving as a stable, noise-robust proxy for muscle activation force and frequency."
"Root Mean Square","$x_{\text{RMS}} = \sqrt{\frac{1}{N} \sum_{i=1}^N x_i^2}$","Contraction Energy: Reflects the active muscle power; directly proportional to the constant force of muscle contraction under stationary Gaussian assumptions."
"Signal Magnitude Area","$y_{\text{SMA}} = \frac{1}{N} \sum_{i=1}^N \vert y_i \vert$","Work Volume: Standardizes absolute physical activity levels across all axis channels, making energy estimation robust to variable lift execution speeds."
"Kurtosis","$y_{\text{Kurt}} = \frac{\frac{1}{N} \sum_{i=1}^N (y_i - \bar{y})^4}{\sigma^4} - 3$","Kinematic Asperity \& Spikes: Quantifies presence of sudden motion adjustments or sharp correction spikes against a smooth background lift profile."
"Bandwidth","$f_{\text{high}} - f_{\text{low}}$","Motor Unit Recruitment Shift: Monitors the spectral bandwidth of muscle activations, indicating shifts in fiber recruitment profiles (slow vs. fast twitch) under load."
"Total Spectral Power","$P_{\text{total}} = \sum_j P(f_j)$","Denoised Signal Energy: Accumulates frequency-domain Welch power, providing a robust variance estimate that filters out transient high-frequency channel noise."
"Skewness","$y_{\text{Skew}} = \frac{\frac{1}{N} \sum_{i=1}^N (y_i - \bar{y})^3}{\sigma^3}$","Movement Asymmetry: Captures the asymmetry of the acceleration distribution to model differing concentric (lifting) vs. eccentric (lowering) motion profiles."
"Mean Frequency","$f_{\text{MNF}} = \frac{\sum_j f_j P(f_j)}{\sum_j P(f_j)}$","Muscle Fatigue Biomarker: Measures the first spectral moment; shifts toward lower frequencies track muscle fatigue and synchronization under persistent loads."
"Zero Crossings","$x_{\text{ZC}} = \frac{1}{N} \sum_{i=1}^{N-1} \mathbb{I}(x_i \cdot x_{i+1} < 0)$","Amplitude-Invariant Rate: Counts the signal crossings of the zero line; serves as a pure frequency biomarker that is immune to electrode placement skin-impedance shifts."
"Myopulse Percentage Rate","$x_{\text{Myopulse}} = \frac{1}{N} \sum_{i=1}^N \mathbb{I}(\vert x_i \vert > \theta)$","Muscle Duty Cycle: Measures the percentage of active contraction duration above a sensor noise floor ($10^{-5}$ V), highlighting muscular tension timing."
"Maximum","$y_{\text{Max}} = \max_i y_i$","Peak Transient Stress: Identifies the single absolute peak intensity or rapid motion catch achieved in a lifting window."
"Slope Sign Changes","$x_{\text{SSC}} = \frac{1}{N} \sum_{i=1}^{N-2} \mathbb{I}(x'_i \cdot x'_i+1 < 0)$","Structural Complexity: Amplitude-invariant count of slope direction changes, capturing raw high-frequency waveforms inflection details."
"Willison Amplitude","$x_{\text{WAMP}} = \frac{1}{N} \sum_{i=1}^{N-1} \mathbb{I}(\vert x_{i+1} - x_i \vert > \theta)$","MUAP Counting: Measures frequency of consecutive steps exceeding the threshold ($10^{-5}$ V), tracking the active density of motor unit discharges."
